,Attacking,Biting,Eating snacks,Head banging,Sitting quietly,Throwing things,Using phone,Walking
Attacking,1243,3,8,20,3,306,5,51
Biting,13,1175,66,23,437,14,374,1
Eating snacks,51,338,2030,934,841,75,577,28
Head banging,21,1,85,1313,24,95,4,49
Sitting quietly,10,228,1402,8,3875,5,817,6
Throwing things,219,1,35,61,4,846,24,140
Using phone,98,133,1328,12,2236,28,1435,32
Walking,100,5,9,91,0,358,14,4989
